helek,time_s,entropy,trit,rauzy_tile,brain_color,splitmix_hue,commit_hash,splitmix_seed
163,543.442,1.1821,0,b,#b9905f,297.27,8671924b13e4fc33,3746119761588810118
164,546.776,1.3936,0,a,#50a2c0,221.12,d164b23c5411f2f3,17578131349073716433
165,550.11,0.598,0,c,#a436a7,187.59,20d1125b36be3398,10967318658242760992
166,553.444,0.9549,0,a,#2ff63e,176.94,e841c31fcd684676,8522614575055716840
167,556.778,0.451,0,b,#10070b,93.55,a5dec6a9275d4ad3,15225083915212873381
168,560.112,1.6949,0,a,#f4e4dd,300.13,a7103f81fc16431e,2180611918333415591
169,563.446,1.9607,0,a,#1f15e4,39.40,17306a752e5b7900,34158727278506007
170,566.78,1.5767,0,b,#596a7b,225.87,077e40023586b3a1,11651804223166774791
171,570.114,0.5305,0,a,#060997,113.83,40c6cebaccd41650,5771033948294399552
172,573.448,0.6023,0,c,#6bb15c,125.40,4d2e11c1f7b7cd61,7047491266628628045
173,576.782,0.4886,0,a,#94de61,247.37,01704e539a0847f7,17818219909630291969
174,580.116,0.0966,0,b,#c6723a,347.14,f5158078fb14c453,6035972470874314229
175,583.45,0.3443,0,a,#03f300,171.84,f2680895f8f2d935,3880399703422560498
176,586.784,0.418,0,c,#4d717e,72.62,cafe1c618f60d83c,4384360406171057866
177,590.118,0.3963,0,a,#4d92fd,348.13,0542e45a6e3971be,13722812685708706309
178,593.452,0.8632,0,b,#faac33,341.63,262b63ee21598d0e,1048592290515462950
179,596.786,0.8265,0,a,#230d60,352.64,99c888a522b7ff4e,5692469813453572249
180,600.12,1.3293,0,a,#591d9b,284.43,178bf3b28363d852,5969630723373763351
181,603.454,1.3643,0,b,#9e6f6a,184.42,c65db6e890419175,8471624464695975366
182,606.788,0.5258,0,a,#2842c1,162.89,03db784f1a2aa39c,11286911383611431683
183,610.122,0.572,0,c,#5fdf9e,199.66,47c526c6cfeb18ac,12400920851579848007
184,613.456,0.4317,0,a,#5cddce,295.18,e6234a03c7a60e5c,6633422674847212518
185,616.79,0.9127,0,b,#7d251c,2.20,13122fc734586276,8530477627896435219
186,620.124,1.0774,0,a,#8bc7ae,219.34,167958031966ab31,3579066586492336406
187,623.458,1.1001,0,b,#d196c9,244.89,1056c66549f42149,5269761635077477904
188,626.792,1.1703,0,a,#22b6d7,167.91,73d74c31860596b5,13084651841282430835
189,630.126,0.3798,0,c,#8d86cf,138.71,ab5a8c9c38ea7183,9471609020202375851
190,633.46,0.0876,0,a,#38bc8c,271.80,69f60ddb36341298,10957878253553841769
191,636.794,0.819,0,b,#114441,292.81,da3d02160b246a00,29875977563815386
192,640.128,0.9581,0,a,#e99fef,106.39,a434176777da3723,2537737121412101284
193,643.462,0.9162,0,a,#a8b8c8,144.08,0aadb707111945b2,12845701073078824202
194,646.796,0.6585,0,b,#17410d,357.25,b93d5f3c0322f137,4031040538766425529
195,650.13,1.7839,0,a,#ec228d,254.21,06bb7f7ef433ab03,264362128318642950
196,653.464,0.6624,0,c,#882df2,225.78,9362dec90d104438,4054383215947702931
197,656.798,0.6369,0,a,#8ce03d,234.85,9732c54cbf2ed49a,11156593576065184407
198,660.132,0.3517,0,b,#8de575,226.45,6ae1ba85d563715c,6661215092580475242
199,663.466,0.7116,0,a,#6f0c1f,303.35,1102495b149d1caa,12257844996552065553
